2025-02-20 17:47:20, 192.168.1.5, 66, 6
2025-02-20 17:47:34, 192.168.1.2, 82, 17
2025-02-20 17:47:36, 192.168.1.5, 66, 6
2025-02-20 17:47:51, 192.168.1.5, 66, 6
2025-02-20 17:48:04, 192.168.1.2, 82, 17
2025-02-20 17:48:08, 192.168.1.5, 66, 6
2025-02-20 17:48:10, 192.168.1.5, 76, 17
2025-02-20 17:48:10, 192.168.1.5, 76, 17
2025-02-20 17:48:10, 192.168.1.1, 198, 17
2025-02-20 17:48:10, 192.168.1.1, 210, 17
2025-02-20 17:48:24, 192.168.1.5, 66, 6
2025-02-20 17:48:34, 192.168.1.2, 82, 17
2025-02-20 17:48:36, 192.168.1.5, 76, 17
2025-02-20 17:48:36, 192.168.1.5, 76, 17
2025-02-20 17:48:36, 192.168.1.1, 141, 17
2025-02-20 17:48:36, 192.168.1.1, 198, 17
2025-02-20 17:48:38, 192.168.1.5, 76, 17
2025-02-20 17:48:38, 192.168.1.5, 76, 17
2025-02-20 17:48:38, 192.168.1.1, 129, 17
2025-02-20 17:48:38, 192.168.1.1, 210, 17
2025-02-20 17:48:40, 192.168.1.5, 66, 6
2025-02-20 17:48:46, 35.174.127.31, 90, 6
2025-02-20 17:48:46, 192.168.1.5, 66, 6
2025-02-20 17:48:46, 192.168.1.5, 94, 6
2025-02-20 17:48:47, 35.174.127.31, 66, 6
2025-02-20 17:48:56, 35.174.127.31, 66, 6
2025-02-20 17:48:56, 192.168.1.5, 66, 6
2025-02-20 17:49:04, 192.168.1.2, 82, 17
2025-02-20 17:49:10, 192.168.1.9, 46, 2
2025-02-20 17:49:10, 192.168.1.9, 46, 2
2025-02-20 17:49:10, 192.168.1.5, 87, 17
2025-02-20 17:49:10, 192.168.1.5, 87, 17
2025-02-20 17:49:10, 192.168.1.1, 103, 17
2025-02-20 17:49:10, 192.168.1.1, 115, 17
2025-02-20 17:49:10, 192.168.1.5, 70, 17
2025-02-20 17:49:10, 192.168.1.5, 70, 17
2025-02-20 17:49:10, 192.168.1.1, 121, 17
2025-02-20 17:49:10, 192.168.1.1, 133, 17
2025-02-20 17:49:12, 192.168.1.5, 66, 6
